lektion,tid,dag
"Datasam o support","12:45,14:35",Tisdag
"Datasam o support","9:55,11:45",Tisdag
Komn�t,"8:00,09:40",Tisdag
"Idrott1 EE24","13:40,14:40",Tisdag
Ma1a,"12:15,13:35",Tisdag
"Eng5 EE24","9:55,11:20",Tisdag
"Idrott1 ES24/TE24","12:00,13:15",Tisdag
"Idrott1 ES23/TE23","10:00,11:00",Tisdag
"Graf kom1","13:25,14:45",Tisdag
N�tverkss�k,"12:00,14:50",Tisdag
Samh1a1,"10:05,11:00",Tisdag
Eng7,"8:10,09:50",Tisdag
"Idrott spec 1","8:10,10:00",Tisdag
Komn�t,"8:10,10:55",Tisdag
"Eng6 EE23","12:00,13:15",Tisdag
"Sv2 EE23","13:20,14:55",Tisdag
"Japanska 1","15:00,17:00",Tisdag
Datortek1a,"8:10,09:35",Tisdag
"Idrott spec 2","8:10,10:00",Tisdag
Medieprod2,"10:05,11:25",Tisdag
Ani2,"12:00,13:20",Tisdag
"Tillprog ES22/TE22","13:40,15:00",Tisdag
"Medier komsam","11:55,13:15",Tisdag
"Graf kom1","8:10,09:30",Tisdag
Samh1b,"8:10,09:30",Tisdag
Medieprod1,"9:40,11:00",Tisdag
Ma1b,"13:40,15:00",Tisdag
"Webbutveck 2","9:55,11:15",Tisdag
Prog2,"12:05,13:35",Tisdag
Ma2c,"9:35,10:55",Tisdag
Ma1c,"9:35,10:55",Tisdag
"Datasam o support","12:45,14:35",Onsdag
"Adm servar o n�tverk","10:05,11:55",Onsdag
"Dator o n�tverkstek","8:10,09:55",Onsdag
Tek1,"8:10,09:30",Onsdag
"N�tverkstek EE22","12:00,16:20",Onsdag
Sv3,"8:10,09:40",Onsdag
"El o mikrodattek","9:50,11:10",Onsdag
Digiskap1,"8:10,09:40",Onsdag
N�tverkss�k,"16:25,16:55",Onsdag
"Dator o n�tverkstek","8:10,09:30",Onsdag
"Eng6 EE23","9:40,11:00",Onsdag
"Webbservprog 1 EE23/TE22","12:00,14:40",Onsdag
Ma2a,"14:50,16:30",Onsdag
Energitek1,"8:10,09:35",Onsdag
Elektromekanik,"9:40,11:05",Onsdag
"Sv1 EE24","12:00,13:25",Onsdag
"Prog1 EE24/TE23","14:50,16:15",Onsdag
"Tillprog ES22/TE22","9:45,11:05",Onsdag
"Kultur hi2b","12:00,13:20",Onsdag
"Idrott spec 1B","14:50,16:40",Onsdag
"Konstart sam","13:30,15:00",Onsdag
Medieprod2,"15:10,16:30",Onsdag
Hi1b,"8:10,09:30",Onsdag
"Re1 ES23/TE23","10:00,11:00",Onsdag
"Medier komsam","12:00,13:20",Onsdag
"Eng6 ES23/TE23","13:25,14:45",Onsdag
"Eng5 ES24/TE24","12:00,13:20",Onsdag
"Sv1 ES24/TE24","9:45,11:05",Onsdag
Medieprod1,"13:30,14:50",Onsdag
Ma3c,"12:00,13:20",Onsdag
Ma2c,"13:25,14:45",Onsdag
Ma1c,"13:25,14:45",Onsdag
Ke1,"14:55,16:15",Onsdag
Komn�t,"8:00,09:40",Torsdag
"Adm servar o n�tverk","9:50,11:45",Torsdag
"Re1 ES23/TE23","8:10,09:30",Torsdag
"Gymarb EE22","11:50,15:15",Torsdag
"Tillprog EE22","8:10,09:40",Torsdag
Samh1a1,"9:50,11:00",Torsdag
"Idrott spec 1","15:20,17:00",Torsdag
Eng7,"15:25,17:00",Torsdag
"Datasam o support","15:05,17:00",Torsdag
"Webbservprog 1 EE23/TE22","13:40,14:50",Torsdag
"Eng6 EE23","12:10,13:30",Torsdag
Mekatronik,"9:05,11:15",Torsdag
Hi1a1,"8:10,09:00",Torsdag
Elektromekanik,"8:10,09:35",Torsdag
Energitek1,"9:40,11:05",Torsdag
"Prog1 EE24/TE23","12:00,13:25",Torsdag
"N�tverkstechno EE24","13:35,15:30",Torsdag
"Gymarb ES22","8:10,09:30",Torsdag
"Idrott spec 2","15:20,17:00",Torsdag
Ani2,"9:40,11:00",Torsdag
Ma2b,"12:00,13:20",Torsdag
Nk1b,"13:40,15:00",Torsdag
"Webbutveck 1 ES23/TE23","9:45,11:05",Torsdag
"Eng6 ES23/TE23","13:35,14:55",Torsdag
Digiskap2,"15:10,16:30",Torsdag
"Eng5 ES24/TE24","9:45,11:05",Torsdag
Ma1b,"13:30,14:50",Torsdag
"Gymarb TE22","12:00,13:20",Torsdag
Ma4,"9:40,11:00",Torsdag
Ma2c,"8:10,09:30",Torsdag
Ma1c,"8:10,09:30",Torsdag
Ke1,"12:00,13:20",Torsdag
"Dator o n�tverkstek","8:10,09:55",Fredag
"Adm servar o n�tverk","10:00,11:50",Fredag
"N�tverkstechno EE22","12:00,13:45",Fredag
N�tverkss�k,"13:50,14:50",Fredag
"Tillprog EE22","15:00,17:00",Fredag
Nk1a1,"9:55,11:00",Fredag
"N�tverkstek EE23","8:10,11:00",Fredag
"Sv2 EE23","12:00,14:05",Fredag
Hi1a1,"14:15,15:00",Fredag
"Adm servar o n�tverk","15:05,17:00",Fredag
"Sv1 EE24","9:45,11:10",Fredag
"Eng5 EE24","12:10,13:35",Fredag
Ma1a,"13:40,15:10",Fredag
"Gymarb ES22","8:10,09:30",Fredag
"Re1 EE22/TE22","8:10,09:50",Fredag
"Kultur hi2b","9:40,11:00",Fredag
Nk1b,"12:00,13:20",Fredag
Hi1b,"8:10,09:30",Fredag
Ani1,"9:40,11:00",Fredag
Digiskap2,"14:15,15:35",Fredag
"Sv1 ES24/TE24","8:10,09:30",Fredag
"Webbutveck 2","10:00,11:20",Fredag
"Gymarb TE22","12:00,13:20",Fredag
Ma3c,"10:00,11:20",Fredag
Tek1,"12:10,13:30",Fredag
"Idrott1 EE23","10:00,11:00",Måndag
"Idrott1 EE24","12:00,13:00",Måndag
"Sv2 EE23","8:10,09:15",Måndag
Datortek1a,"8:10,09:35",Måndag
"Idrott spec 1B","13:00,13:50",Måndag
Hi1a1,"12:00,12:50",Måndag
